               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.025035,            0.020052,           0.0005271,             0.81065,             0.79215,             0.77326,             0.36456,            0.039961,            0.034364,            0.000818,           0.0037128,           0.0037128,           0.0037128
                  65,            0.024288,             0.01882,          0.00054438,              0.7694,              0.7555,             0.71506,             0.34058,            0.042201,            0.039327,          0.00080567,            0.003584,            0.003584,            0.003584
                  66,            0.024194,            0.019746,          0.00046323,             0.74014,             0.74905,             0.68864,             0.33105,            0.043472,            0.042219,          0.00074314,            0.003457,            0.003457,            0.003457
                  67,            0.023922,            0.020676,             0.00051,             0.77987,             0.77458,             0.72639,             0.34646,            0.041709,            0.037633,          0.00067419,           0.0033321,           0.0033321,           0.0033321
                  68,            0.023688,            0.018371,           0.0003893,             0.79452,             0.78084,             0.74682,              0.3518,            0.041409,            0.037051,           0.0007011,           0.0032093,           0.0032093,           0.0032093
                  69,            0.024038,            0.020293,          0.00050597,             0.78723,              0.7643,             0.73974,             0.34573,            0.041847,            0.037154,            0.000607,           0.0030888,           0.0030888,           0.0030888
                  70,            0.023296,            0.018397,          0.00045963,             0.75277,             0.73399,             0.69619,             0.32314,            0.043233,            0.039966,          0.00072895,           0.0029706,           0.0029706,           0.0029706
                  71,            0.023148,            0.018597,          0.00036926,             0.78171,             0.78333,             0.74336,             0.36334,            0.040854,             0.03825,          0.00064324,            0.002855,            0.002855,            0.002855
                  72,              0.0223,            0.018146,          0.00037038,             0.79141,             0.77799,             0.75197,             0.35679,            0.040981,             0.03842,          0.00064649,           0.0027419,           0.0027419,           0.0027419
                  73,            0.022915,            0.020006,           0.0004396,             0.78014,             0.77304,             0.73402,              0.3404,            0.042611,            0.038493,          0.00069293,           0.0026316,           0.0026316,           0.0026316
                  74,            0.022439,            0.017507,          0.00039681,             0.77764,             0.77701,             0.73357,             0.34592,             0.04106,            0.038119,          0.00070829,           0.0025241,           0.0025241,           0.0025241
                  75,            0.022298,            0.020596,          0.00046435,             0.78571,             0.78626,             0.74539,             0.34867,            0.041265,            0.038111,          0.00076088,           0.0024195,           0.0024195,           0.0024195
                  76,            0.022616,            0.017282,           0.0003158,             0.78256,             0.76811,             0.73027,             0.33528,            0.042192,             0.03924,          0.00081934,            0.002318,            0.002318,            0.002318
                  77,            0.022331,            0.018462,           0.0003985,             0.77821,             0.78342,             0.73165,             0.33745,             0.04199,            0.039791,          0.00069165,           0.0022196,           0.0022196,           0.0022196
                  78,            0.021385,            0.017996,          0.00037502,             0.78707,             0.79512,             0.75124,             0.36767,                0.04,            0.038183,          0.00065042,           0.0021245,           0.0021245,           0.0021245
                  79,            0.021867,            0.018102,           0.0002998,             0.80317,             0.80496,             0.76589,             0.36933,             0.04027,            0.037139,          0.00068474,           0.0020327,           0.0020327,           0.0020327
                  80,            0.021757,            0.019076,          0.00031102,             0.77918,             0.78974,             0.74561,             0.35273,            0.041325,            0.038698,          0.00073191,           0.0019443,           0.0019443,           0.0019443
                  81,            0.021474,            0.019456,          0.00030923,             0.77441,              0.7916,             0.74762,             0.35964,            0.040716,             0.03777,          0.00068004,           0.0018594,           0.0018594,           0.0018594
                  82,            0.021222,            0.016849,          0.00035716,             0.77834,             0.79131,             0.74931,             0.35787,            0.041201,            0.040075,          0.00067466,           0.0017781,           0.0017781,           0.0017781
                  83,            0.021588,            0.019328,          0.00039086,             0.77044,             0.78535,             0.74842,             0.35906,            0.041233,            0.039419,          0.00068048,           0.0017005,           0.0017005,           0.0017005
                  84,            0.020954,            0.015465,          0.00023348,             0.77743,             0.77507,             0.75097,             0.34854,            0.041397,            0.039306,          0.00072039,           0.0016267,           0.0016267,           0.0016267
                  85,            0.020934,             0.01694,          0.00022604,             0.77887,             0.76334,             0.73375,             0.35071,            0.041919,            0.039833,          0.00073174,           0.0015566,           0.0015566,           0.0015566
                  86,            0.020903,            0.014855,          0.00031345,             0.75484,             0.76335,             0.71695,             0.33397,            0.042931,            0.043441,          0.00074873,           0.0014905,           0.0014905,           0.0014905
                  87,            0.020632,            0.016435,          0.00034147,             0.77942,             0.78828,             0.75242,              0.3571,            0.041236,            0.040766,          0.00072907,           0.0014283,           0.0014283,           0.0014283
                  88,            0.021314,            0.016084,          0.00032088,              0.7789,             0.78871,             0.74963,             0.35889,            0.041319,            0.040778,          0.00068364,           0.0013701,           0.0013701,           0.0013701
                  89,            0.020375,            0.018074,          0.00027668,             0.76416,             0.77768,             0.73022,             0.34275,             0.04242,            0.041464,          0.00071877,            0.001316,            0.001316,            0.001316
                  90,            0.020438,            0.017321,          0.00025355,               0.777,             0.78089,             0.73782,             0.35575,            0.041589,            0.041098,          0.00067878,            0.001266,            0.001266,            0.001266
                  91,            0.019824,            0.017861,          0.00022962,             0.78266,             0.77164,             0.74809,             0.35529,            0.041305,            0.040353,          0.00069732,           0.0012202,           0.0012202,           0.0012202
                  92,            0.020996,            0.017976,           0.0002867,             0.77391,              0.7599,             0.73005,             0.34451,            0.042018,            0.041729,          0.00070192,           0.0011787,           0.0011787,           0.0011787
                  93,             0.02062,            0.016651,          0.00023865,             0.76542,             0.78171,             0.73704,             0.34585,            0.042252,            0.042703,          0.00070723,           0.0011414,           0.0011414,           0.0011414
                  94,            0.020203,             0.01553,          0.00025803,             0.79121,             0.78671,             0.75888,             0.36664,            0.040826,            0.040121,          0.00073823,           0.0011084,           0.0011084,           0.0011084
                  95,             0.01949,            0.016867,          0.00026519,             0.76795,             0.77212,             0.73442,               0.346,            0.041768,            0.042613,          0.00074195,           0.0010797,           0.0010797,           0.0010797
                  96,            0.019546,            0.016339,          0.00026762,             0.75893,             0.78241,             0.72987,             0.35406,             0.04153,            0.042348,          0.00073348,           0.0010554,           0.0010554,           0.0010554
                  97,            0.019474,            0.016179,          0.00030973,             0.76706,             0.75681,              0.7214,             0.34663,            0.042627,            0.043393,          0.00075899,           0.0010355,           0.0010355,           0.0010355
                  98,            0.020035,            0.016589,          0.00025468,             0.76665,             0.76528,             0.72214,             0.34254,            0.042225,            0.044138,          0.00078442,             0.00102,             0.00102,             0.00102
                  99,            0.019953,            0.016864,          0.00021835,             0.78154,              0.7798,             0.74519,             0.35754,            0.041271,            0.041456,          0.00072519,           0.0010089,           0.0010089,           0.0010089
