               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.022503,            0.018093,          0.00026066,             0.80516,             0.77016,             0.74182,             0.34949,            0.041308,            0.038962,          0.00079673,            0.001316,            0.001316,            0.001316
                  90,            0.022906,            0.018678,          0.00034167,             0.78745,             0.78485,             0.73869,             0.35107,             0.04119,            0.038582,          0.00079971,            0.001266,            0.001266,            0.001266
                  91,            0.021565,            0.018253,          0.00032274,             0.80924,             0.79659,             0.76672,                0.37,            0.039842,             0.03667,           0.0007494,           0.0012202,           0.0012202,           0.0012202
                  92,            0.021949,            0.019355,          0.00027562,             0.78245,               0.799,             0.74773,             0.35114,            0.041371,            0.039778,          0.00079121,           0.0011787,           0.0011787,           0.0011787
                  93,            0.021835,            0.016833,          0.00039555,             0.80475,             0.78386,             0.75978,             0.35443,            0.040822,            0.037902,           0.0008312,           0.0011414,           0.0011414,           0.0011414
                  94,            0.022205,            0.017027,          0.00033426,             0.81574,             0.81558,             0.78625,             0.37899,            0.039271,            0.036286,          0.00096145,           0.0011084,           0.0011084,           0.0011084
                  95,            0.021627,            0.019121,          0.00030687,             0.78281,              0.7872,             0.74898,             0.34941,            0.041511,            0.040014,          0.00089531,           0.0010797,           0.0010797,           0.0010797
                  96,            0.021694,            0.018811,          0.00027641,             0.80274,             0.77698,             0.76134,             0.35586,            0.040884,            0.038517,          0.00085124,           0.0010554,           0.0010554,           0.0010554
                  97,              0.0214,            0.017243,          0.00033679,             0.79011,             0.81282,             0.76869,             0.35617,            0.040799,            0.038599,          0.00084743,           0.0010355,           0.0010355,           0.0010355
                  98,            0.021427,            0.017396,           0.0002678,             0.78643,             0.80429,             0.75876,             0.35792,             0.04055,            0.038613,          0.00094149,             0.00102,             0.00102,             0.00102
                  99,            0.021646,            0.017371,           0.0002931,             0.79829,              0.7602,             0.73678,             0.34736,             0.04139,             0.03997,          0.00095817,           0.0010089,           0.0010089,           0.0010089
